0,1,2,3,4,5
ADORA2B,MACF1,HIST1H3G,DTNBP1,CU633967.1,UBXN11
EARS2,STK17B,AL445228.2,TMEM145,AL160412.1,RC3H1
CEBPA,MAVS,AC091167.5,DTNB,AC079336.5,DOHH
SNX13,GOLT1B,AC010776.2,MIR4458HG,HCG27,AP002748.4
VIPAS39,IRAK4,TUBA8,HES6,AC115618.1,SPATA5L1
TEX10,CTDSP2,AL133396.2,KIF12,AC107214.2,BICRA
MICA,TUT7,ELMOD1,USP19,VWA7,SENP3
HYOU1,SUFU,PSG5,HIC2,RPP38-DT,ANKRD13C
ZNF282,ZMIZ2,BX323046.1,NR1D2,LINC02265,PPP1R3F
MECR,TTC26,AL078644.2,SERTAD2,AC020917.3,ABHD17A
TNFRSF10B,NSMF,AL691432.4,TMEM47,HMGCLL1,THEM4
CTSL,PPP1R15B,SMIM22,REEP3,PCDHB14,PMPCA
ZNF451,LRRC28,TMEM255A,NAIF1,C5orf66-AS1,DOCK9
TXNL4B,RPUSD2,NPY,CNPY3,TIMM23B-AGAP6,PHF3
RAB26,NDC80,PYHIN1,SLC37A3,GJC2,PUM1
GINM1,PMM2,AL365226.2,ZNRF1,MUSTN1,BTBD6
ZC2HC1A,EEF1AKMT4,MAGEA1,COBL,ACE,MARS
STYX,CALCOCO1,AL591686.1,PDS5B,AC105046.1,SUPT20H
PSRC1,PDS5A,U91328.3,AC092944.1,BSN-DT,ETS2
ZHX1,ANKRD27,TNFSF4,PREPL,RIPPLY2,TMEM234
SLC35G1,INO80B,FCGR2A,PRKAB1,AL358072.1,CHCHD10
GATD3B,GFPT1,KRT27,ITM2B,LINC01895,HOOK2
SSH3,LRCH1,AC068506.1,PBLD,CCL20,ADPRHL1
BORCS5,COPS7B,AC100812.1,NAGPA,LINC02680,RAB3GAP2
IQCH-AS1,SULT2B1,CD22,SLC39A13,AL158835.2,INPP4B
XPNPEP1,LYSMD3,AC007638.2,RBM39,LINC01309,PUF60
NUDT3,RALGPS2,AL138921.1,KBTBD3,KMO,TAF1A
SRBD1,SIRT6,CFAP73,KDM3A,C10orf67,GLRX5
ACY1,TWIST2,AC122129.2,CARD10,LINC02749,YPEL2
SUV39H1,CDKL5,PAK5,MPV17L,AL390755.3,GTF3C2
CORO2A,TAF3,ACTC1,AL136454.1,AL157888.1,NDUFAF5
SUCO,ATAD3A,DTX1,E2F3,AC009137.2,GPAT4
NACC2,ZIC2,SLC6A20,ATP2B1-AS1,AC137630.1,CENPI
ACTA2,NKRF,AC012603.1,FEN1,SHISA8,LINC01588
TRIM4,PEX6,GAS1,HPS3,ZRANB2-AS2,UQCRQ
DOCK7,JMJD8,LINC00921,LINC01152,AC104393.1,BOK
SENP5,BLM,AC015540.1,RPS6KA4,AC020741.1,UAP1
TAGLN2,WHAMM,AC007684.2,KIF15,AC100771.2,BAG5
RALGPS2,RMND1,C11orf87,AC019080.1,TMEM45B,MAPK14
GFM2,NAPG,DNAH12,BDH1,UGT1A7,CDC14B
PGM3,DCUN1D4,SLA,IBA57,AC125611.3,SP3
TMCO3,POLD1,AC073655.1,PLEKHA1,VXN,UNK
SMG1,THAP1,AC026691.1,CAPRIN1,AC010336.5,ZNF654
HABP4,TOR2A,LINC01876,C15orf39,TM6SF2,UBE2D4
CASP8AP2,DDX51,CYSLTR1,DDX18,AC008735.2,SSH2
PANK1,MAP3K8,GAB3,TSR1,AC007378.1,SNHG10
ZNRF3,CGAS,SEMA3D,CCDC115,AP000708.1,SLC9A8
ZNF526,AP006621.3,LINC00601,SFSWAP,AC095057.3,B4GALT4
ZNF33A,C8orf76,MYOZ3,TAF8,IL3RA,GTF3C6
AL627171.2,CARD8,KCNJ3,C10orf88,APOBEC3H,TRMT1
HCFC1R1,HOXA7,AC020922.3,RARB,SDR16C5,HSPA14-1
FASTKD5,SLC38A7,Z83844.2,LIN52,AL158151.3,MISP3
EMC10,TMPO,PFKFB1,MTMR14,DNAH3,ZNF514
CHD8,TTF1,AC009509.1,AC243964.3,AC103740.1,MIER3
SLC27A2,HSPB8,AP000424.1,MYO15B,GPR39,STRN3
TRIM21,POGLUT1,LRRC66,THAP2,HPDL,SH3RF1
TBP,TNRC6C,AL121768.1,HOOK1,CLRN3,C1R
RPAP2,CLASP1,KCNN3,WBP2,ERVK-28,CYTH1
FOXJ3,EMSY,AL450270.1,YTHDC2,FOCAD-AS1,ENDOG
GNAL,CDCA7,AC010327.5,DSEL,AL359697.1,CRY1
EXD3,MEX3D,AC026471.3,SUN2,AC135782.1,ACP1
HOXB13,MYNN,AC011446.3,CDCA8,LRRC37A,SCAP
OSBPL10,KLHL20,AL805961.1,ELF1,SCIMP,MAP3K1
SLC5A6,DZIP3,AC022424.1,VIRMA,ZNF66,PGBD2
SNAPC4,GPANK1,LINC02773,C1orf52,LINC00622,CCDC12
GNPDA2,CIAO3,ITGA6-AS1,PGPEP1,Z69733.1,SLC26A2
ABRAXAS2,AREL1,AC093159.1,ARMC8,AC104109.2,GABRB3
LDAH,CCDC66,C5orf46,ADRA2C,PPBP,VAMP4
CDKL5,ASH2L,C1orf167,CNOT10,AL139274.2,HEXIM2
OSBPL11,MPV17L2,C12orf50,SBF1,AC109597.2,H6PD
BACE2,WRNIP1,AC090948.2,NKIRAS1,FSD2,EGFL7
SYNPO2,SNHG32,AC144836.1,SERTAD1,SLC25A41,ERAL1
SACM1L,ALDOA,TRPM8,SEPSECS,AL118511.1,MIS18A
MPDZ,CDCA2,AL512413.1,TOE1,UGT8,NEK9
PIP4K2A,ZNF544,CD74,TRIM33,AC138969.1,ANKRD36
NTN4,PCGF3,CCDC175,SKI,AC023043.4,KRT222
VPS45,DUXAP8,AL049796.1,NOL6,REM2,SLC66A1
KBTBD2,SCAMP1,AC004982.1,BASP1-AS1,DNM1P35,KLHL28
RNF41,IDS,AL592071.1,TAOK3,AL590822.3,MFSD6
NECAP2,TRIM5,CCDC110,MTMR9,EGF,ATP5PO
FLCN,ZC3H8,OTUD6A,SETD6,LINC02728,ARFGAP1
HACD1,SLC25A14,AC008074.2,INVS,PCDHGA1,CCDC189
CXorf56,SAMD4A,AC087477.2,UVRAG,AL732509.1,MRPL27
ATG4B,KIRREL3,AC245884.10,RDM1,AC097460.1,DPYD
AP1AR,AC005261.1,SCT,STK4,LINC00235,ZNF395
CCZ1,MPP1,LGALS7,TMCO6,AC007383.2,NT5DC3
GOLT1A,GALM,NR0B2,ICA1,LINC00449,PGLS
PLSCR4,ZNHIT6,AC084117.1,PIGW,EYS,ORAI2
DPF2,RRP1,FAM86B2,SLC35G2,AL627422.2,WWP2
CUTA,YPEL2,CTXN2,FUZ,GPR75,ARHGAP32
FBXO28,ATPAF2,CNGA1,MBLAC2,AC068025.2,HIST1H2AH
FAM234A,NPC1,AC141424.1,EDRF1,AL356056.1,C15orf65
BRF1,ZNF354A,AC105935.1,WDR45B,MAS1,SLAIN2
CHCHD6,WBP2,OR7C1,FCRLB,IBA57-DT,PEX7
SEPTIN1,RSAD1,TPH1,MED12,AC114810.1,NIPAL3
TMEM42,GALNT6,CCDC200,TRIM38,RASGRF1,HIST1H2BN
CTNS,P3H3,OLAH,PIP5K1C,MYO15A,USP42
KPTN,SELENOK,AC022079.2,BTD,AL353719.1,PHF11
HGH1,CCNL2,PRSS57,PTER,LINC00482,SAP130
NUTM2B-AS1,CITED2,LINC00412,SAP30L,AC007448.5,LINC00476
CXXC1,CHPF,LRRC38,ZNF674-AS1,AC019068.1,SH2D3A
ARFGAP3,AP002360.1,ZNF814,PIK3CA,GET4,ZFHX2
DMAP1,ZBTB20,AC040977.1,TLK1,BMS1P14,FAM126A
GPATCH11,ADD2,AC107993.1,ALDH16A1,ELOVL3,SRP19
AP1S3,SMIM27,AL591069.1,AC132192.2,LAMA2,DNM1L
CAD,MCM7,KCNIP2,LINC01534,AC006111.2,TOMM70
SLC15A4,NOL12,LINC02688,TRAF3,AL354811.1,RPS18
TRIM33,PHF12,FZD4-DT,NCKIPSD,AL133520.1,HIST1H1C
SNHG32,PEX5,PIANP,PPP3R1,GOLGA8Q,TM9SF2
DDX11,FZD3,C11orf96,NARS2,AC012066.2,PXK
CLUH,NLGN2,GPR3,ZNF337-AS1,AC006299.1,EEF1AKMT2
PTPN4,TBCC,CEMIP,AP1AR,PCDHB3,SYT17
KBTBD4,TRIM26,AC139795.3,DNAJB1,IDI2-AS1,G6PD
RPP14,SNTA1,AC025569.1,FIG4,AL121990.1,RTN2
C15orf65,U2SURP,CREB5,KCTD12,MAATS1,FAM241B
C6orf89,AUTS2,AC009948.3,CCDC122,ZNF600,TAP1
PHKA1,MIB1,AC127035.1,PPP1R3D,ZBTB8B,KLHL23
DCTN4,ABHD4,AL031432.3,DELE1,AC007029.1,RPS2
STAG1,KLC2,CCDC168,MGAT5,AC025265.1,SLC46A1
CREBL2,KIF15,AC004801.6,MAX,AL355881.1,TLNRD1
SP9,KLHDC10,GOLGA6L9,RAD50,AC010210.1,GASK1B
CLTC,MIR222HG,PCDH1,CTR9,AL445231.1,AL627171.2
CAVIN3,ABHD2,LINC01730,ABI2,AP000553.2,RGS14
ACOT8,RC3H1,UGT1A1,AL161891.1,MACC1,LMBR1L
LRWD1,BEND6,AC110285.2,NUMA1,LINC02259,FCHO2
MOSPD2,PPAN,PBX4,SLAIN2,GVQW2,TSPYL1
EFL1,CBFB,LATS2-AS1,GNPDA2,PCDHA11,METTL18
SMAD5,TRIP11,ARHGAP31,ABCC4,AC124947.1,TXN2
TRIM27,MED16,PCSK9,AC074212.1,PROX1,TUBA1A
CDC25A,C1GALT1C1,SYNGAP1,RNF215,AL031673.1,DTX2
C16orf70,TMOD3,AL365203.2,HEATR1,C2CD4A,WASF2
GSK3B,ZNF337,SECTM1,TPP2,CCDC154,TPT1
SIKE1,CTDSPL2,COL9A3,TEN1,ELL3,QKI
CASC9,AC004585.1,SLC16A9,FAM104A,AL353593.3,TMEM44-AS1
MYL6,TRMT1L,AL133390.1,NANS,ABLIM2,AC040169.1
FBXL15,IFI16,AC005520.5,ANKS4B,AL136171.2,FOXRED2
KLF16,RBM12,AC012615.2,TTC31,KCNN2,SNRPD2
RNF166,ANKRD40,PDGFRA,CCDC174,AP4B1-AS1,NISCH
AGO2,SOS2,MEGF11,CITED2,AC006369.1,AC097376.3
GAS5,TMEM65,AL442663.3,CLDN23,AL031710.2,TASOR
MTMR6,MCAT,CRTC3-AS1,SCRN2,LINC01776,PTPN3
DIS3,RFC3,ECM2,CYP39A1,NXPH2,RTCB
POMGNT2,ZNF623,SLC7A9,PC,LINC01635,FECH
FAM111A,MFSD1,AL139099.1,L1CAM,TPRG1-AS1,SHANK2
CLDND1,AL157937.1,HMX2,DGLUCY,AL137127.1,IQCG
CEP128,DHRS11,FAM53A,CYB5RL,FAM184A,MAML2
HIST1H2BJ,CEP131,AC010186.1,LPCAT4,AC006157.1,ACOT7
CDPF1,EMC10,STAC2,TYMSOS,CD72,RALY-AS1
NBEAL1,APBB1IP,AC073352.1,ABCA7,LINC01619,CYP2R1
MCOLN1,CLK1,LINC02236,PHF1,GP6,LINC02482
DENND5A,LARP4,AL355312.2,BCLAF1,LUADT1,ARV1
SMYD4,ARNT,AL022069.1,ZBTB38,PLAAT2,CWC22
WWC2,TMEM59L,ANKS1B,ZMYM3,AC011405.1,ANKRD54
UNC119B,SAMHD1,MIR600HG,TRAPPC11,COLEC11,NIFK-AS1
UBIAD1,TBC1D25,AL121772.3,CORO2A,AL359317.2,SPATA7
COBLL1,SSPN,AC090912.1,CASP2,AL122035.2,NAB1
GPR37,USF1,LINC02274,PRR4,AL034346.1,NNT-AS1
DIDO1,SRP54,AC027682.4,DUSP22,AL512329.2,SOCS3
MTA2,LIN7C,ERICD,IKZF4,AP000787.1,CASP9
EPB41L4A-AS1,PITHD1,BTG3-AS1,AHR,AC140912.1,SHC1
MTFR2,RAPGEF2,ZNF404,RBM19,LINC01600,CENPQ
PLLP,CHMP6,F7,CDR2,AC016026.2,NKILA
MINPP1,SETD1A,SLC37A2,SCAF1,MTMR8,TMOD3
DNAJB9,FAM98C,KISS1,CSE1L,MST1,FAM135A
ADPRHL1,IL4R,LINC02163,SETD3,AL353804.1,AFG3L2
DCP1A,FUOM,AC084198.2,ZSCAN5A,PI3,DDB2
SSX2IP,DSCC1,AP001020.2,CACTIN,SYT16,MIR4458HG
ERCC6L,BCL2L13,AL008721.2,IFT57,AC012181.1,SYT13
LHFPL2,HSD17B8,CARD8-AS1,LINC00174,NKX6-1,PIAS3
ATG4D,TAPT1,TTC34,FGFR2,DMGDH,JAG2
PTGR2,IQCH-AS1,RUNDC3A-AS1,AL356488.3,UCN2,PAK4
THAP4,CENPX,FILIP1L,LMBRD1,TMEM30B,SGK2
EHD4,SP2,CBX7,GAS2L3,ITGAX,SMG6
CAP2,SCRIB,LINC00653,TENM3,DSCAML1,SLC25A6
ZKSCAN1,VPS36,UNC5CL,DOK7,LINC00115,ELAC2
COMMD9,USP12,NPIPB5,SLC16A5,VAC14-AS1,ERVK9-11
MISP3,LCORL,MORF4L2-AS1,RBM4B,PTPN7,NACC2
WDR89,SNHG10,LAMA3,DBF4B,TSHR,MATN2
CEP192,PARP6,AL355377.3,ELK4,EPHA10,PCOLCE2
ZFAND2B,TRAFD1,AC074117.1,ZNF322,C2orf92,PIKFYVE
MARVELD2,RANBP9,CHRNA10,NXPE3,CRX,KCTD6
USP6NL,CNNM1,AC008105.1,ARHGEF40,ALKAL1,GABPA
MTF1,UBE2J1,Z94721.3,INPP4B,PRKAR2A-AS1,PPIP5K2
ZNF644,MINDY2,DUOXA1,CABYR,IL10RB-DT,TAF4
SLC46A1,MESP1,AC123768.2,AC139887.2,IL21R-AS1,AC006333.2
YY1AP1,SCAF4,TEX45,SPTBN4,C5orf64,SERGEF
CARNMT1,DVL1,AL355102.1,METTL15,AL031775.1,NUDCD1
SELENON,E2F5,MPP7,LARS2,BMP8A,FSTL4
CASK,MED14,AF235103.3,NFIX,STARD8,VBP1
MSMO1,DPP8,AC009948.2,PRPF6,AL121992.1,ATG14
NAB1,SPCS1,AC010547.1,MAP11,C8orf86,AC048341.2
LPCAT3,TCIRG1,KCNQ1,CRYZL1,ACTN1-AS1,AL139220.2
NFKBIL1,AC083855.2,STAP2,MMUT,MFAP5,SFI1
FAR1,NADSYN1,ELAVL2,TCEAL1,LINC01550,AL136038.5
USO1,RPAP2,ZC3H12D,ITGB1-DT,LINC02078,TLE3
IMPACT,PPP3R1,AL138820.1,AJUBA,AC092687.3,TMEM17
ROGDI,FUBP3,AP001160.4,MED25,USP2,ITPA
TMEM53,DNAJB2,MAN1A1,PCCA,AF121898.1,HCG11
OCRL,FRYL,CHST5,RADX,SCN5A,KCNJ6
SLC47A1,ZBTB25,LINC01956,NDRG2,AL513217.1,DIS3L
SLC16A5,MAT2A,LST1,SCFD2,LRRD1,VCPKMT
TMEM63B,AC006329.1,AC040169.3,PIK3C3,RIMS4,APOL2
AP3M2,CHRNA5,AP002433.1,TMED2-DT,TMTC1,STK10
TGFBRAP1,MRPL20-AS1,SLC38A11,ADCY3,LINC01775,HERC5
PUSL1,CNOT6,AC009163.7,KLHL18,AC005726.3,ADCK5
ODF2,LLGL1,AP000265.1,GYS1,CORO1A,MAP3K21
KLHL8,CLIC1,AC079684.1,INTS5,AC073352.1,SLX4IP
STAM,PHF10,GPR37L1,TIMM22,F7,SLC25A16
TMEM254,MAPKAPK5,AC053503.5,PSMD12,TMEM61,FOSB
ABHD5,ANAPC2,SLC9A3,CASC19,CFP,WEE1
RAD51D,ZNF714,AC007384.1,REV1,ICAM1,CSRNP1
AC091271.1,MORC3,NPIPA5,CPSF7,AC012615.2,SMU1
TADA2A,STX18,LINC01929,SLC35F5,AC011346.1,SLC10A3
SKP2,S100PBP,TOGARAM2,RPGR,AL360178.1,BFSP1
MFSD10,LHFPL6,AC092171.2,BEST1,ZNF404,EFNA5
MAP1S,SART1,Z92544.1,GSAP,SPAG8,ACVR1B
AFDN,EIF3J-DT,LINC01484,GLRB,S100A14,PXYLP1
SNX8,RTL6,AL138759.1,AC027117.1,CRTC3-AS1,JRK
ARHGAP21,FJX1,PCDHGA12,DNAJC22,OVOL3,PPM1A
REV3L,DDX28,CHMP1B-AS1,TTC39B,AC005224.2,DXO
HOMER1,EPC2,LGI2,ZNF558,AL359878.1,HSPB8
USP33,PSMA2,HTR3B,KDSR,C1QTNF1-AS1,LIN9
TRPM7,SLC35F2,SMCO2,PRR22,FLRT1,CSNK1E
PRKAR1B,DNAL4,AC007342.1,VIPAS39,AC007493.1,ING5
EIF2B3,RRM2,MSANTD1,AZIN1-AS1,RAB33A,P2RX5
FANCA,NUF2,AL163953.1,CNPY4,PLXNA4,CPLANE1
SLC7A6OS,CARNMT1,SPATA21,ATG2A,PTX3,FRMD8
ZDHHC13,PPP6R3,AL139123.1,RRBP1,AC068282.2,MIR99AHG
CAMTA2,SIAH1,PSD,STRADB,AL513314.2,KMT2E-AS1
ARMC6,RIN3,LINC00607,GRTP1,THTPA,GRB7
HEIH,FAM199X,ADRB2,ST3GAL2,AC074008.1,MEIOC
TMC6,AACS,POPDC2,FANCD2,AL606760.3,TMEM265
AC007325.4,FAM120C,AL391427.1,RHOD,ECM2,PRDX3
PRMT7,FNIP1,APBA1,DYRK1A,MIR600HG,REV3L
RNF138,TENT2,RASAL1,AC008608.2,AC107294.2,POMT1
FOCAD,RTKN2,ZP1,ELL,LINC01962,MEG8
GTPBP10,CNTRL,GNAO1,BRSK2,FAM53A,RRAGC
SDE2,SELENOO,AC004223.4,TMPO-AS1,AC120498.10,DNAJB2
WDR55,TP53BP2,EFCAB1,UPF1,AL157936.1,SBF1
AC005332.6,ZNF174,PLEKHS1,TARBP1,PRSS56,DUSP4
ITPRIPL2,GATD3B,AL513548.4,NT5C2,AC112254.1,LINC02693
NIBAN2,VTI1A,SPATA45,TMEM186,SPRY3,PTPRK
SIX1,KIAA1143,AC037487.1,ANKRD18B,AL121652.1,APBB1
LHPP,FKBP10,AC106897.1,BPGM,AC026202.2,UQCR11
MT1A,AP4S1,AC079447.1,TM9SF3,COL9A3,CLIP2
USP40,CEP120,GOLGA8O,PNMA6A,SLC7A9,LRRC75B
FNIP1,ELP3,S1PR4,OTUD5,RIMBP3C,EMC9
TSPYL1,RFX7,HCG17,NKX2-8,AC090912.1,MRE11
CASP7,CREBL2,LINC01118,METTL2B,KISS1,TOP3B
PHRF1,RNF44,TESK2,GATA2,AC091982.3,PSMD3
PCGF6,PPP1R3F,IL33,BRINP1,AL359091.5,IAH1
PPP2R1B,OXR1,GIMAP2,DCAF6,FXYD6,HNRNPC
BTBD2,RPS6KC1,ADAM9,G6PC3,FAM189A2,FOXA3
FMNL1,IFNGR2,CEL,BDKRB1,AC079305.1,MTMR1
PSMC3IP,MEIOC,AL132989.1,STEAP3,AC023794.6,PDHX
MNX1,FOXO3,AC015818.2,NEK4,AL133390.1,PLCE1
TMEM267,PCNX3,AL035587.1,UHRF2,AL139317.3,AC006058.1
WDR92,SIRT7,SELPLG,TMC6,AL355312.2,TKT
CYB5D1,BUB1,AC078802.1,ZFX,BTG3-AS1,GARS-DT
TNS2,HOMEZ,ADAM28,CRCP,AC011498.1,RHOF
GPATCH8,OFD1,AC072028.1,PDE4DIP,AL662797.1,RFC5
UPF1,ATP23,AC009065.8,RREB1,AL121772.3,IER5L
FOXRED2,BAK1,EXTL3-AS1,ACY3,CCDC81,PEX10
MOCS3,CRAT,FAM122C,PEX7,AC068987.3,MAGI1
C12orf66,SMPD4,ZNF860,E2F7,LINC02163,TRIM56
CRY1,CCAR2,AC022400.4,ID4,ANKS1B,PCSK7
HR,CLPB,CSDC2,NDEL1,PRDM16,CRADD
DCP2,TEX261,ZNF256,CPNE3,SLC37A2,HNF4A
PRTN3,GCN1,AC080038.2,ZNF764,AL022069.1,MGA
ZNF12,BCR,AL121583.1,KIAA0232,LINC02019,CRTC3
ABCB8,ARID2,AC092943.2,LDLR,ADCY5,AP002495.1
C1orf109,SEC22B,PIK3C2G,SHOX2,SH3GL3,DLG5
DROSHA,DTNBP1,FAM160A1,USP12,LURAP1L-AS1,WDR90
FAM217B,NCAPD3,ANKRD24,NPAS1,LINC02432,RNF215
SAMHD1,EPOP,AC064801.1,HSPA1B,DNAJB7,TANC2
TFPI,GPHN,PLSCR2,SDAD1,RSF1-IT2,RPL23
TRIML2,G0S2,AC020659.1,STAG1,AC012020.1,KCNK6
THNSL1,GTF2E1,AC016252.1,FOSL1,FAM66D,ZNF316
MCPH1,TMEM230,SNED1,HNRNPA1P48,HMX2,EIF2AK4
SPNS1,BX890604.2,SMIM10L2B-AS1,C6orf52,AP000845.1,OGFR
BCOR,CENPP,AC020594.1,GPR27,LINC02274,ZBTB40
TSPAN31,RXRB,AC136475.9,MOSMO,C2orf66,NLRP2
PCCA,SP1,APCDD1L-DT,LINC00667,PDCD1LG2,CCDC80
TTC39C,CHD2,AC239809.3,HPD,AC005520.5,MRPS18A
TMSB4X,CIP2A,AL590133.1,B3GNT2,PLCD4,TNFRSF10B
SPRY2,SPATA2,AC107871.2,TRIQK,LINC02803,HMGB1
BCR,TNFSF9,AC023509.2,UBE3B,SLC16A9,BBIP1
C2CD5,HUS1,ATP2B2,RNF207,LINC02340,EEF2
CPNE2,GBA,AC126283.1,CRNKL1,AC025774.1,PRKACA
MAOA,ORC6,AL139381.1,CSNK2A1,AL442663.3,CCNH
SS18,LMBR1L,LINC02721,SACM1L,AC034229.4,TWF2
FBXO3,GFRA1,AL121761.1,ERO1B,GPR143,RALB
ZRANB3,ZNF598,AL136298.1,URGCP,AL162632.3,TBC1D12
ZDHHC24,KLHDC2,LINC01563,AP003119.2,JSRP1,COPG1
LIX1L,TARS2,IGSF5,FBXO41,AC093382.1,HUS1
SUOX,ABHD13,LINC01828,DNAJC14,AC079328.2,SFT2D3
TAF13,RSPH3,PDX1,OBSCN,FOXL1,AP2S1
GID4,NEK11,AC012588.1,PLA2G15,AC104564.5,PDIA4
ATXN2L,FBXO3,AC027228.2,PWWP3A,ZNF252P-AS1,FJX1
SCARA3,ZNF48,LCT,NICN1,AL139099.1,SWSAP1
ZMYND8,POLR1C,ZBTB44-DT,FZD7,AC124242.1,COPS9
POU2F1,FAM214B,AC253576.2,DHX38,AC027682.4,HENMT1
GPRC5D-AS1,SLC25A17,AL157400.4,SP4,ERICD,STBD1
MIER3,KIAA1109,CD79B,CRYM,AC020656.1,GDF15
TMEM120A,SLC25A32,PCP2,USP46,DCXR-DT,MARC2
GNB5,PLK3,ETNPPL,BTN2A1,PDGFRA,FXYD2
PREP,BRPF1,SHISAL2A,VRK3,AL445223.1,KLHL12
MUC5AC,AC040169.1,MUC2,RALBP1,STAC2,LRRC6
FUOM,FBXL12,SCUBE3,ZNF37A,AC010186.1,TECR
ATP9B,E2F3,SOX8,TRAFD1,AC068620.1,ALS2
ERBB3,TSPAN2,HSD17B13,TIRAP,DRD4,SP110
SGK3,PITPNM2,DHCR24-DT,GSPT2,AC116609.3,HEMK1
RNF139,SRD5A3,ANO1,AL078587.2,AC122710.2,POLG
DEDD,NID2,AC103724.4,ZNF263,SNCB,AC008915.2
TOE1,FBXO28,OR10H1,GRK5,LOXL3,PSEN1
KDM2A,SPC25,AL359399.1,KRI1,MEGF11,TMEM87B
GHDC,DKK3,ST8SIA2,RBM5,AC104118.1,C1orf198
GNA11,NEK1,AL512408.1,CLYBL,AL117336.1,IQGAP3
EDC4,JCAD,B4GALNT2,BCOR,AL353801.3,NECTIN3
REXO1,MAP2K5,OR7A17,RFX3,SECTM1,HSD17B7
CLASP1,SKA1,AC015712.7,HLA-DMB,LBHD2,KIAA1671
SMIM8,ZNF526,PRR29-AS1,SLC6A9,LINC00884,RPS7
WSB1,FAM160B2,AC010623.1,MVK,GPSM3,C11orf86
UBN2,RAB10,AC064807.2,TRAPPC2,RGN,WNK1
FASTKD2,KMT2B,C5AR2,MSX1,AL445465.1,ACBD4
PSTK,PURB,AC025287.2,EXO1,SMIM10,MIR1915HG
TIA1,C1orf216,AC090971.1,TAF1A,MT3,AL392172.1
ANKRD18B,UBXN11,PCDHB11,ORC5,AC004584.3,JOSD2
MTFR1L,ECD,HIST1H2BH,MYPOP,PIP,LRRC27
ZC3H7A,HPS4,AC131934.1,SP1,LINC02236,HS1BP3
PITRM1,CCNF,PXDNL,CAMSAP2,SPATA18,BCOR
AC006329.1,COPG2,DENND5B-AS1,SLC35G1,ATP6V1C2,CD55
RTN4RL2,IDH3A,NKPD1,SLC2A1-AS1,AL135910.1,SESN2
LCOR,PHACTR2,AC010327.4,ING1,LDB3,SLC17A5
TAMM41,CCDC34,AL122035.1,SLC17A5,SNHG31,MACROD1
ATF2,ZFAND5,GPR156,LINC01637,SCN3A,TAPT1
KHDC1,IQCB1,TMEM176A,SGCB,KBTBD8,ANKRD13B
TMEM144,CCDC191,COL8A1,RDH5,MCPH1-AS1,GCNT2
ESS2,NMRK1,LINC01356,TAP2,AL157373.2,DBNDD2
MED17,CYB5R4,AC068385.1,NRM,MECOM,ADAMTS10
GSTCD,KIAA1549L,MYRF-AS1,EIF5AL1,AC009812.4,TLCD5
URB2,TRIM65,AC004083.1,RBM23,AC132938.1,VDAC1
PIGB,KRI1,AC048382.5,AC005076.1,LINC01405,SELENOI
PRIMPOL,WARS2,GPR83,SH2D3A,AC132938.3,CENPBD1
ACAP2,SIM2,AC073140.2,STAG3,AC079385.2,SLC41A2
PLXND1,ZNF777,WNT5A-AS1,TMEM38B,DHRS9,GRIN2B
LINC01503,ATAD1,AC111149.2,ANO10,MAPK13,TMEM11
ICE1,CRTC2,ZNF528,MOGS,PCDH9-AS1,ERI2
OTUD6B,ITSN2,AL080312.2,HSD17B14,RAPGEF4,SNORC
SLC36A4,ATPSCKMT,AC087280.2,TMEM144,AC010761.1,NEDD4L
LRRC40,METTL14,MIOX,SYNGR1,PAPOLB,TBCC
GOLM1,FASTKD1,MDS2,AC078846.1,LRRN4CL,SLC22A23
FAM135A,TBC1D23,ANKRD20A1,AL928654.1,SEPTIN5,UQCC2
COQ10A,IPO13,LINC00634,WARS2,NEU4,VPS36
MYLIP,FANCF,LINC02182,NAAA,AC004839.2,WDR27
PATZ1,TBC1D17,C5orf47,ZFP64,AL359644.1,FNBP1
ANK3,RMI1,LINC01694,A1BG-AS1,PROB1,LENG9
DRAM2,MAGT1,TRHDE-AS1,SULF2,TIAF1,TOR1AIP2
RAB8B,MAPK8IP1,LINC02363,PDXK,AC022098.4,TPM3
CLUAP1,TTC7B,AC069234.4,PRUNE1,SDCBP2,TXN
TXNRD2,POP1,Z99716.2,RAMAC,TRIM72,MAP7D2
KCTD6,ZBTB40,MYLK4,CEP120,AC061975.1,RAB26
YTHDF3-AS1,LINC00205,AC079921.2,CNTNAP3,KRT16,TMEM91
PTPN18,SESN2,AC010536.1,MAP3K7,AC079630.1,PYGO2
TNFSF15,TAZ,SLC25A34-AS1,GORASP2,AC099811.5,MDM1
OAS3,FAM228B,SAXO1,NR2C2,AL035458.2,SPR
HOXA7,STK39,CALB1,DDHD2,AL133342.1,TCTA
MTMR2,KIZ,SLC38A5,AC005520.2,SLC6A13,NKRF
NOL6,DMPK,AL354696.1,TONSL,AC007599.2,RCCD1
STX1A,MARCH9,TRG-AS1,POMT2,ATP6V1FNB,PLRG1
PIP5K1C,ZNF639,AC019257.2,PI4KA,TTLL13P,C4orf46
BBS4,CHMP7,AC016737.1,BCL2L2,AC022075.1,CA2
SRCAP,RANBP3,DDN,ZMYM1,ZBTB46,SDHAF3
ANKH,NAB1,AL391560.2,ZNF704,DSCR8,PIK3CD-AS2
FBXO33,MPDZ,HBA1,AC027097.1,NBPF26,MROH6
GLT8D1,USP38,WASIR1,RADIL,AC008280.3,RNF31
